# Format: oryginał;tłumaczenie;timestamp;epizod
# Linie zaczynające się od # są ignorowane.

# ── Epizod 1: Happiness ──────────────────────────────────
Bonjour les amis et bienvenue dans un nouvel épisode d'Easy French;Cześć przyjaciele i witajcie w nowym odcinku Easy French;00:00;1
Aujourd'hui, nous allons demander aux passants s'ils sont heureux;Dzisiaj zapytamy przechodniów, czy są szczęśliwi;00:05;1
Est-ce que vous êtes heureux ?;Czy jesteś szczęśliwy?;00:18;1
Parfaitement heureux;Całkowicie szczęśliwy;00:20;1
Dès le moment où on est en bonne santé, je suis heureux;Kiedy jestem zdrowy, jestem szczęśliwy;00:22;1
Qu'est-ce qui vous rend heureux ?;Co sprawia, że jesteś szczęśliwy?;00:24;1
Marcher dans la plus belle ville du monde, Paris;Spacerowanie po najpiękniejszym mieście świata, Paryżu;00:30;1
Paris est un musée à ciel ouvert;Paryż jest muzeum na świeżym powietrzu;00:37;1
Oui, très heureuse;Tak, bardzo szczęśliwa;00:40;1
C'est quoi le secret ?;Jaki jest sekret?;00:42;1
Prendre des décisions;Podejmować decyzje;00:46;1
Changer de métier, c'est très bien;Zmiana zawodu jest bardzo dobra;00:47;1
Je faisais de l'investissement et maintenant je monte ma société;Pracowałam w inwestycjach, a teraz zakładam firmę;00:52;1
Avant ce changement, j'étais moins heureuse;Przed tą zmianą byłam mniej szczęśliwa;01:07;1
Il faut prendre des décisions;Trzeba podejmować decyzje;01:09;1
Qu'est-ce qui vous rend heureuse ?;Co sprawia, że jesteś szczęśliwa?;01:18;1
La nature et le calme me rendent heureuse;Natura i spokój sprawiają, że jestem szczęśliwa;01:20;1
Je me retrouve dans cet environnement;Odnajduję się w tym środowisku;01:31;1
Je suis heureuse;Jestem szczęśliwa;01:33;1
Être en bonne santé et avoir une famille sympa;Bycie zdrowym i posiadanie fajnej rodziny;01:39;1
Qu'est-ce qui vous rend heureux ?;Co sprawia, że jesteś szczęśliwy?;01:46;1
Passer du temps avec mes amis;Spędzanie czasu z przyjaciółmi;01:50;1
J'ai du temps libre pour faire ce que j'aime;Mam czas wolny, żeby robić to co lubię;01:55;1
