# Format: oryginał;tłumaczenie;epizod
# Linie zaczynające się od # są ignorowane.
# Każdy epizod powinien zawierać co najmniej 25 haseł.

# ── Epizod 1: Dom i rodzina ──────────────────────────────────────
What you need is good quality core ingredients.;Potrzebujesz wysokiej jakości podstawowych składników.;1:01;1
We use free-range pork.;Używamy wieprzowiny z wolnego wybiegu.;1:06;1
We use our own seasoning.;Używamy własnych przypraw.;1:08;1
We make our own pastry.;Sami robimy ciasto.;1:09;1
That's why our pork pies are the best in York.;Dlatego nasze pork pie są najlepsze w Yorku.;1:11;1
Yorkshire pudding is a batter cooked in the oven.;Yorkshire pudding to ciasto (płynne) pieczone w piekarniku.;1:23;1
There are so many things to see.;Jest tak wiele rzeczy do zobaczenia.;1:38;1
Definitely the Minster.;Zdecydowanie Minster.;1:36;1
There aren't any Vikings in London and Oxford.;W Londynie i Oksfordzie nie ma wikingów.;1:55;1
When the Romans were here, it was called Eboracum.;Kiedy byli tu Rzymianie, nazywało się Eboracum.;2:03;1
The Anglo-Saxons called it Eoforwic.;Anglosasi nazywali je Eoforwic.;2:09;1
The Vikings called it Jorvik.;Wikingowie nazywali je Jorvik.;2:12;1
York comes from the Viking word Jorvik.;Nazwa York pochodzi od wikińskiego słowa Jorvik.;2:21;1
We are proud to be Yorkshire.;Jesteśmy dumni z bycia z Yorkshire.;2:39;1
People are generally very nice.;Ludzie są ogólnie bardzo mili.;2:41;1
People feel very comfortable here.;Ludzie czują się tu bardzo komfortowo.;3:01;1
There is a lot of variety here.;Jest tu dużo różnorodności.;3:09;1
There is a lot of history here.;Jest tu dużo historii.;3:32;1
Guy Fawkes was born here.;Guy Fawkes urodził się tutaj.;3:43;1
It's traditional England.;To jest tradycyjna Anglia.;3:52;1
It's a very historic city.;To bardzo historyczne miasto.;4:19;1
It's friendly and has good beer.;Jest przyjazne i ma dobre piwo.;4:23;1
It has lovely surroundings.;Ma piękne otoczenie.;4:25;1
core ingredients;podstawowe składniki;1:01;1
free-range pork;wieprzowina z wolnego wybiegu;1:06;1
seasoning;przyprawy;1:08;1
pastry;ciasto (np. kruche);1:09;1
pork pie;angielski pasztet w cieście;1:10;1
batter;ciasto płynne (np. naleśnikowe);1:23;1
cooked in the oven;pieczone w piekarniku;1:25;1
things to see;rzeczy do zobaczenia;1:38;1
the Minster;katedra (York Minster);1:36;1
Viking Centre;centrum wikingów (muzeum);1:41;1
Anglo-Saxons;Anglosasi;1:59;1
